CNTR_CODE;PopWgt;LandAreaWgt;;
AT;https://renewables.ninja/country_downloads/AT/renewables_ninja_country_AT_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/AT/renewables_ninja_country_AT_irradiance-surface_merra-2_land-wtd.csv;;
AL;https://renewables.ninja/country_downloads/AL/renewables_ninja_country_AL_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/AL/renewables_ninja_country_AL_irradiance-surface_merra-2_land-wtd.csv;;
BE;https://renewables.ninja/country_downloads/BE/renewables_ninja_country_BE_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/BE/renewables_ninja_country_BE_irradiance-surface_merra-2_land-wtd.csv;;
BG;https://renewables.ninja/country_downloads/BG/renewables_ninja_country_BG_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/BG/renewables_ninja_country_BG_irradiance-surface_merra-2_land-wtd.csv;;
CH;https://renewables.ninja/country_downloads/CH/renewables_ninja_country_CH_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/CH/renewables_ninja_country_CH_irradiance-surface_merra-2_land-wtd.csv;;
CZ;https://renewables.ninja/country_downloads/CZ/renewables_ninja_country_CZ_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/CZ/renewables_ninja_country_CZ_irradiance-surface_merra-2_land-wtd.csv;;
CY;https://renewables.ninja/country_downloads/CY/renewables_ninja_country_CY_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/CY/renewables_ninja_country_CY_irradiance-surface_merra-2_land-wtd.csv;;
DE;https://renewables.ninja/country_downloads/DE/renewables_ninja_country_DE_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/DE/renewables_ninja_country_DE_irradiance-surface_merra-2_land-wtd.csv;;
DK;https://renewables.ninja/country_downloads/DK/renewables_ninja_country_DK_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/DK/renewables_ninja_country_DK_irradiance-surface_merra-2_land-wtd.csv;;
EL;https://renewables.ninja/country_downloads/GR/renewables_ninja_country_GR_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/GR/renewables_ninja_country_GR_irradiance-surface_merra-2_land-wtd.csv;;
EE;https://renewables.ninja/country_downloads/EE/renewables_ninja_country_EE_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/EE/renewables_ninja_country_EE_irradiance-surface_merra-2_land-wtd.csv;;
ES;https://renewables.ninja/country_downloads/ES/renewables_ninja_country_ES_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/ES/renewables_ninja_country_ES_irradiance-surface_merra-2_land-wtd.csv;;
FR;https://renewables.ninja/country_downloads/FR/renewables_ninja_country_FR_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/FR/renewables_ninja_country_FR_irradiance-surface_merra-2_land-wtd.csv;;
FI;https://renewables.ninja/country_downloads/FI/renewables_ninja_country_FI_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/FI/renewables_ninja_country_FI_irradiance-surface_merra-2_land-wtd.csv;;
HR;https://renewables.ninja/country_downloads/HR/renewables_ninja_country_HR_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/HR/renewables_ninja_country_HR_irradiance-surface_merra-2_land-wtd.csv;;
HU;https://renewables.ninja/country_downloads/HU/renewables_ninja_country_HU_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/HU/renewables_ninja_country_HU_irradiance-surface_merra-2_land-wtd.csv;;
IT;https://renewables.ninja/country_downloads/IT/renewables_ninja_country_IT_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/IT/renewables_ninja_country_IT_irradiance-surface_merra-2_land-wtd.csv;;
IE;https://renewables.ninja/country_downloads/IE/renewables_ninja_country_IE_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/IE/renewables_ninja_country_IE_irradiance-surface_merra-2_land-wtd.csv;;
IS;https://renewables.ninja/country_downloads/IS/renewables_ninja_country_IS_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/IS/renewables_ninja_country_IS_irradiance-surface_merra-2_land-wtd.csv;;
NO;https://renewables.ninja/country_downloads/NO/renewables_ninja_country_NO_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/NO/renewables_ninja_country_NO_irradiance-surface_merra-2_land-wtd.csv;;
NL;https://renewables.ninja/country_downloads/NL/renewables_ninja_country_NL_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/NL/renewables_ninja_country_NL_irradiance-surface_merra-2_land-wtd.csv;;
ME;https://renewables.ninja/country_downloads/ME/renewables_ninja_country_ME_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/ME/renewables_ninja_country_ME_irradiance-surface_merra-2_land-wtd.csv;;
MK;https://renewables.ninja/country_downloads/MK/renewables_ninja_country_MK_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/MK/renewables_ninja_country_MK_irradiance-surface_merra-2_land-wtd.csv;;
LI;https://renewables.ninja/country_downloads/LI/renewables_ninja_country_LI_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/LI/renewables_ninja_country_LI_irradiance-surface_merra-2_land-wtd.csv;;
LT;https://renewables.ninja/country_downloads/LT/renewables_ninja_country_LT_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/LT/renewables_ninja_country_LT_irradiance-surface_merra-2_land-wtd.csv;;
MT;https://renewables.ninja/country_downloads/MT/renewables_ninja_country_MT_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/MT/renewables_ninja_country_MT_irradiance-surface_merra-2_land-wtd.csv;;
LU;https://renewables.ninja/country_downloads/LU/renewables_ninja_country_LU_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/LU/renewables_ninja_country_LU_irradiance-surface_merra-2_land-wtd.csv;;
LV;https://renewables.ninja/country_downloads/LV/renewables_ninja_country_LV_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/LV/renewables_ninja_country_LV_irradiance-surface_merra-2_land-wtd.csv;;
RO;https://renewables.ninja/country_downloads/RO/renewables_ninja_country_RO_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/RO/renewables_ninja_country_RO_irradiance-surface_merra-2_land-wtd.csv;;
PL;https://renewables.ninja/country_downloads/PL/renewables_ninja_country_PL_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/PL/renewables_ninja_country_PL_irradiance-surface_merra-2_land-wtd.csv;;
PT;https://renewables.ninja/country_downloads/PT/renewables_ninja_country_PT_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/PT/renewables_ninja_country_PT_irradiance-surface_merra-2_land-wtd.csv;;
RS;https://renewables.ninja/country_downloads/RS/renewables_ninja_country_RS_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/RS/renewables_ninja_country_RS_irradiance-surface_merra-2_land-wtd.csv;;
UA;https://renewables.ninja/country_downloads/UA/renewables_ninja_country_UA_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/UA/renewables_ninja_country_UA_irradiance-surface_merra-2_land-wtd.csv;;
TR;https://renewables.ninja/country_downloads/TR/renewables_ninja_country_TR_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/TR/renewables_ninja_country_TR_irradiance-surface_merra-2_land-wtd.csv;;
SE;https://renewables.ninja/country_downloads/SE/renewables_ninja_country_SE_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/SE/renewables_ninja_country_SE_irradiance-surface_merra-2_land-wtd.csv;;
SK;https://renewables.ninja/country_downloads/SK/renewables_ninja_country_SK_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/SK/renewables_ninja_country_SK_irradiance-surface_merra-2_land-wtd.csv;;
SI;https://renewables.ninja/country_downloads/SI/renewables_ninja_country_SI_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/SI/renewables_ninja_country_SI_irradiance-surface_merra-2_land-wtd.csv;;
XK;https://renewables.ninja/country_downloads/XK/renewables_ninja_country_XK_irradiance-surface_merra-2_pop-wtd.csv;https://renewables.ninja/country_downloads/XK/renewables_ninja_country_XK_irradiance-surface_merra-2_land-wtd.csv;;
